Características selecionadas;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
Total Grupos de idade;  170 091 ;  100 496 ;  86 673 ;  53 074 ;  13 823 ;  11 782 ;  31 723 ;59,1;51;61,2;13,8;28,3
14 a 29 anos;  52 898 ;  29 805 ;  22 625 ;  12 751 ;  7 179 ;  5 478 ;  14 649 ;56,3;42,8;56,4;24,1;41,5
14 a 17 anos;  12 443 ;  1 767 ;  1 015 ;154;752;  1 259 ;  2 157 ;14,2;8,2;15,1;42,6;71,3
18 a 24 anos;  23 521 ;  15 052 ;  10 702 ;  5 773 ;  4 350 ;  2 906 ;  8 290 ;64;45,5;53,9;28,9;46,2
25 a 29 anos;  16 933 ;  12 986 ;  10 909 ;  6 824 ;  2 077 ;  1 313 ;  4 202 ;76,7;64,4;62,6;16;29,4
30 a 49 anos;  63 290 ;  49 504 ;  44 444 ;  29 104 ;  5 060 ;  4 144 ;  12 196 ;78,2;70,2;65,5;10,2;22,7
50 a 59 anos;  23 801 ;  14 926 ;  13 669 ;  8 504 ;  1 257 ;  1 388 ;  3 512 ;62,7;57,4;62,2;8,4;21,5
60 anos ou mais;  30 103 ;  6 262 ;  5 935 ;  2 715 ;327;772;  1 367 ;20,8;19,7;45,8;5,2;19,4
Total Homens;  82 238 ;  57 190 ;  50 492 ;  30 831 ;  6 698 ;  4 904 ;  14 514 ;69,5;61,4;61,1;11,7;23,4
14 a 29 anos;  26 715 ;  16 945 ;  13 462 ;  7 459 ;  3 483 ;  2 491 ;  6 992 ;63,4;50,4;55,4;20,6;36
14 a 17 anos;  6 348 ;  1 067 ;664;87;403;663;  1 160 ;16,8;10,5;13,1;37,8;67,1
18 a 24 anos;  11 909 ;  8 559 ;  6 468 ;  3 470 ;  2 091 ;  1 319 ;  3 937 ;71,9;54,3;53,7;24,4;39,9
25 a 29 anos;  8 458 ;  7 319 ;  6 330 ;  3 902 ;989;508;  1 895 ;86,5;74,8;61,6;13,5;24,2
30 a 49 anos;  30 935 ;  27 485 ;  25 182 ;  16 536 ;  2 303 ;  1 406 ;  5 051 ;88,8;81,4;65,7;8,4;17,5
50 a 59 anos;  11 312 ;  8 622 ;  7 934 ;  5 011 ;688;583;  1 668 ;76,2;70,1;63,2;8;18,1
