Grandes Regiões, Unidades da Federação e Municípios;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
Brasil;  174 809 ;  109 156 ;  100 690 ;  59 675 ;  8 466 ;  7 023 ;  20 889 ;   62,4 ;   57,6 ;   59,3 ;   7,8 ;   18,0 
Norte;  14 652 ;  8 854 ;  8 169 ;  3 449 ;   685 ;   782 ;  1 966 ;   60,4 ;   55,8 ;   42,2 ;   7,7 ;   20,4 
Rondônia;  1 496 ;   851 ;   824 ;   486 ;   27 ;   19 ;   56 ;   56,9 ;   55,1 ;   59,0 ;   3,2 ;   6,5 
Porto Velho;   476 ;   259 ;   248 ;   139 ;   11 ;   3 ;   15 ;   54,4 ;   52,0 ;   56,1 ;   4,4 ;   5,9 
Acre;   691 ;   342 ;   316 ;   152 ;   25 ;   36 ;   68 ;   49,4 ;   45,7 ;   48,0 ;   7,5 ;   18,0 
Rio Branco;   333 ;   183 ;   166 ;   95 ;   17 ;   10 ;   29 ;   55,2 ;   50,0 ;   57,0 ;   9,3 ;   15,0 
Amazonas;  3 182 ;  1 946 ;  1 752 ;   703 ;   194 ;   139 ;   424 ;   61,2 ;   55,1 ;   40,1 ;   9,9 ;   20,3 
Manaus;  1 826 ;  1 161 ;  1 025 ;   558 ;   135 ;   45 ;   220 ;   63,6 ;   56,2 ;   54,4 ;   11,7 ;   18,3 
Roraima;   449 ;   280 ;   262 ;   120 ;   18 ;   13 ;   38 ;   62,5 ;   58,4 ;   45,7 ;   6,6 ;   12,8 
Boa Vista;   326 ;   216 ;   201 ;   101 ;   16 ;   10 ;   31 ;   66,2 ;   61,4 ;   50,4 ;   7,2 ;   13,8 
Pará;  6 862 ;  4 194 ;  3 869 ;  1 449 ;   325 ;   476 ;  1 123 ;   61,1 ;   56,4 ;   37,4 ;   7,7 ;   24,1 
Belém;  1 259 ;   829 ;   748 ;   376 ;   81 ;   61 ;   200 ;   65,8 ;   59,4 ;   50,2 ;   9,8 ;   22,5 
Amapá;   716 ;   441 ;   391 ;   198 ;   50 ;   36 ;   98 ;   61,5 ;   54,5 ;   50,8 ;   11,3 ;   20,6 
Macapá;   448 ;   286 ;   267 ;   153 ;   19 ;   16 ;   40 ;   63,8 ;   59,5 ;   57,4 ;   6,7 ;   13,3 
Tocantins;  1 256 ;   801 ;   755 ;   342 ;   46 ;   64 ;   159 ;   63,8 ;   60,1 ;   45,3 ;   5,8 ;   18,4 
Palmas;   264 ;   195 ;   185 ;   102 ;   10 ;   5 ;   22 ;   74,1 ;   70,3 ;   55,1 ;   5,0 ;   10,9 
Nordeste;  46 256 ;  25 185 ;  22 412 ;  9 664 ;  2 773 ;  3 464 ;  8 478 ;   54,4 ;   48,5 ;   43,1 ;   11,0 ;   29,6 
Maranhão;  5 566 ;  2 824 ;  2 601 ;   917 ;   223 ;   553 ;   959 ;   50,7 ;   46,7 ;   35,3 ;   7,9 ;   28,4 
São Luís;   929 ;   580 ;   520 ;   278 ;   60 ;   21 ;   93 ;   62,4 ;   55,9 ;   53,5 ;   10,4 ;   15,4 
Piauí;  2 663 ;  1 406 ;  1 268 ;   497 ;   138 ;   312 ;   692 ;   52,8 ;   47,6 ;   39,2 ;   9,8 ;   40,3 
Teresina;   724 ;   443 ;   412 ;   228 ;   31 ;   47 ;   111 ;   61,1 ;   56,9 ;   55,4 ;   6,9 ;   22,7 
Ceará;  7 498 ;  4 017 ;  3 675 ;  1 563 ;   342 ;   468 ;  1 106 ;   53,6 ;   49,0 ;   42,5 ;   8,5 ;   24,7 
Fortaleza;  2 253 ;  1 350 ;  1 233 ;   670 ;   117 ;   66 ;   238 ;   59,9 ;   54,7 ;   54,3 ;   8,7 ;   16,8 
Rio Grande do Norte;  2 897 ;  1 513 ;  1 350 ;   692 ;   163 ;   185 ;   443 ;   52,2 ;   46,6 ;   51,2 ;   10,7 ;   26,1 
Natal;   746 ;   415 ;   370 ;   234 ;   45 ;   20 ;   75 ;   55,7 ;   49,7 ;   63,2 ;   10,8 ;   17,1 
Paraíba;  3 239 ;  1 706 ;  1 543 ;   673 ;   163 ;   205 ;   524 ;   52,7 ;   47,6 ;   43,6 ;   9,6 ;   27,4 
João Pessoa;   677 ;   425 ;   385 ;   230 ;   40 ;   24 ;   98 ;   62,8 ;   56,9 ;   59,6 ;   9,4 ;   21,7 
Pernambuco;  7 772 ;  4 245 ;  3 674 ;  1 705 ;   571 ;   383 ;  1 259 ;   54,6 ;   47,3 ;   46,4 ;   13,4 ;   27,2 
Recife;  1 389 ;   869 ;   729 ;   411 ;   140 ;   60 ;   243 ;   62,6 ;   52,5 ;   56,4 ;   16,1 ;   26,1 
Alagoas;  2 660 ;  1 387 ;  1 259 ;   582 ;   128 ;   229 ;   454 ;   52,1 ;   47,3 ;   46,2 ;   9,2 ;   28,1 
Maceió;   859 ;   533 ;   480 ;   274 ;   53 ;   23 ;   106 ;   62,0 ;   55,9 ;   57,2 ;   10,0 ;   19,0 
Sergipe;  1 876 ;  1 092 ;   967 ;   441 ;   125 ;   150 ;   404 ;   58,2 ;   51,5 ;   45,6 ;   11,4 ;   32,5 
Aracaju;   567 ;   354 ;   309 ;   187 ;   46 ;   29 ;   97 ;   62,4 ;   54,4 ;   60,6 ;   12,9 ;   25,4 
Bahia;  12 085 ;  6 997 ;  6 075 ;  2 595 ;   922 ;   979 ;  2 638 ;   57,9 ;   50,3 ;   42,7 ;   13,2 ;   33,1 
