ano,unidade_geografica,localizacao,dependencia_adm,total_aprovacao_FUND,total_aprovacao_EM,total_reprovacao_FUND,total_reprovacao_EM,total_abandono_FUND,total_abandono_EM
2020,Brasil,Total,Total,98.2,95,0.8,2.7,1,2.3
2020,Brasil,Urbana,Total,98.2,95,0.8,2.7,1,2.3
2020,Brasil,Rural,Total,98.1,95,0.7,2.6,1.2,2.4
2020,Brasil,Total,Federal,99.2,88.2,0.8,10,0,1.8
2020,Brasil,Urbana,Federal,99.2,89.2,0.8,9.1,0,1.7
2020,Brasil,Rural,Federal,100,82.5,0,15.2,0,2.3
2020,Brasil,Total,Estadual,97.7,94.6,1.3,2.8,1,2.6
2020,Brasil,Urbana,Estadual,97.7,94.5,1.3,2.9,1,2.6
2020,Brasil,Rural,Estadual,97,96,1.1,1.6,1.9,2.4
2020,Brasil,Total,Municipal,98.6,97.2,0.6,1.3,0.8,1.5
2020,Brasil,Urbana,Municipal,98.8,97.4,0.6,1.3,0.6,1.3
2020,Brasil,Rural,Municipal,98.2,96,0.6,1.2,1.2,2.8
2020,Brasil,Total,Privada,97.3,98.8,0.7,0.7,2,0.5
2020,Brasil,Urbana,Privada,97.3,98.9,0.7,0.7,2,0.4
2020,Brasil,Rural,Privada,96.4,93.8,1.7,2,1.9,4.2
2020,Brasil,Total,Pública,98.4,94.4,0.8,3,0.8,2.6
2020,Brasil,Urbana,Pública,98.4,94.4,0.8,3.1,0.8,2.5
2020,Brasil,Rural,Pública,98.1,95.1,0.7,2.6,1.2,2.3
