ano,unidade_geografica,localizacao,dependencia_adm,total_aprovacao_FUND,total_aprovacao_EM,total_reprovacao_FUND,total_reprovacao_EM,total_abandono_FUND,total_abandono_EM
2022,Brasil,Total,Total,94.2,86.6,4.7,7.7,1.1,5.7
2022,Brasil,Urbana,Total,94.7,86.7,4.3,7.8,1,5.5
2022,Brasil,Rural,Total,90.8,85.2,7,6.6,2.2,8.2
2022,Brasil,Total,Federal,96.1,88.3,3.8,9.5,0.1,2.2
2022,Brasil,Urbana,Federal,96,88.2,3.9,9.6,0.1,2.2
2022,Brasil,Rural,Federal,98.6,88.6,1.4,8.9,0,2.5
2022,Brasil,Total,Estadual,93.8,85,4.9,8.4,1.3,6.6
2022,Brasil,Urbana,Estadual,93.9,85,4.8,8.5,1.3,6.5
2022,Brasil,Rural,Estadual,91.6,84.5,5.9,6.6,2.5,8.9
2022,Brasil,Total,Municipal,93.1,91.4,5.6,4.6,1.3,4
2022,Brasil,Urbana,Municipal,93.7,91.7,5.2,4.9,1.1,3.4
2022,Brasil,Rural,Municipal,90.6,89.7,7.2,2.6,2.2,7.7
2022,Brasil,Total,Privada,98.7,96.9,1.2,2.4,0.1,0.7
2022,Brasil,Urbana,Privada,98.8,96.9,1.1,2.4,0.1,0.7
2022,Brasil,Rural,Privada,97.5,93.3,2.2,3,0.3,3.7
2022,Brasil,Total,Pública,93.3,85.1,5.4,8.4,1.3,6.5
2022,Brasil,Urbana,Pública,93.8,85.2,5.1,8.5,1.1,6.3
2022,Brasil,Rural,Pública,90.7,84.9,7.1,6.8,2.2,8.3
